table at $140000 (2048 words, 24-bit)
idx(hex) hex frac(=/2^23)
588 (24c) 4E17A4 +0.6100965
589 (24d) 4E1E68 +0.6103029
590 (24e) 4E252D +0.6105095
591 (24f) 4E2BF3 +0.6107162
592 (250) 4E32B9 +0.6109229
593 (251) 4E3980 +0.6111298
594 (252) 4E4047 +0.6113366
595 (253) 4E470F +0.6115435
596 (254) 4E4DD8 +0.6117506
597 (255) 4E54A1 +0.6119577
598 (256) 4E5B6B +0.6121649
599 (257) 4E6235 +0.6123720
600 (258) 4E6900 +0.6125793
601 (259) 4E6FCB +0.6127867
602 (25a) 4E7697 +0.6129941
603 (25b) 4E7D64 +0.6132016
604 (25c) 4E8431 +0.6134092
605 (25d) 4E8AFF +0.6136168
606 (25e) 4E91CE +0.6138246
607 (25f) 4E989D +0.6140324
608 (260) 4E9F6C +0.6142402
609 (261) 4EA63C +0.6144481
610 (262) 4EAD0D +0.6146561
611 (263) 4EB3DF +0.6148642
612 (264) 4EBAB1 +0.6150724
613 (265) 4EC183 +0.6152805
614 (266) 4EC856 +0.6154888
615 (267) 4ECF2A +0.6156971
616 (268) 4ED5FE +0.6159055
617 (269) 4EDCD3 +0.6161140
618 (26a) 4EE3A9 +0.6163226
619 (26b) 4EEA7F +0.6165313
620 (26c) 4EF156 +0.6167400
621 (26d) 4EF82D +0.6169487
622 (26e) 4EFF05 +0.6171576
623 (26f) 4F05DD +0.6173664
624 (270) 4F0CB6 +0.6175754
625 (271) 4F1390 +0.6177845
626 (272) 4F1A6A +0.6179936
627 (273) 4F2145 +0.6182028
628 (274) 4F2821 +0.6184121
629 (275) 4F2EFD +0.6186215
630 (276) 4F35D9 +0.6188308
631 (277) 4F3CB7 +0.6190404
632 (278) 4F4394 +0.6192498
633 (279) 4F4A73 +0.6194595
634 (27a) 4F5152 +0.6196692
635 (27b) 4F5832 +0.6198790
636 (27c) 4F5F12 +0.6200888
637 (27d) 4F65F3 +0.6202987
638 (27e) 4F6CD4 +0.6205087
639 (27f) 4F73B6 +0.6207187
640 (280) 4F7A99 +0.6209289
641 (281) 4F817C +0.6211390
642 (282) 4F8860 +0.6213493
643 (283) 4F8F44 +0.6215596
644 (284) 4F9629 +0.6217700
645 (285) 4F9D0F +0.6219805
