# P:$142158  filter_tbl_142158  (1600 words)
# FILTER stage2 table, indexed 0..1599 (min(idx,$63F)); used at P:$0630/0666/0700/072D
#  idx | hex     signed24   fraction(24-bit)
   384 | 004403     17411   0.0020756
   385 | 004461     17505   0.0020868
   386 | 0044C0     17600   0.0020981
   387 | 004520     17696   0.0021095
   388 | 004580     17792   0.0021210
   389 | 0045E1     17889   0.0021325
   390 | 004642     17986   0.0021441
   391 | 0046A3     18083   0.0021557
   392 | 004706     18182   0.0021675
   393 | 004768     18280   0.0021791
   394 | 0047CC     18380   0.0021911
   395 | 00482F     18479   0.0022029
   396 | 004894     18580   0.0022149
   397 | 0048F9     18681   0.0022269
   398 | 00495E     18782   0.0022390
   399 | 0049C4     18884   0.0022511
   400 | 004A2B     18987   0.0022634
   401 | 004A92     19090   0.0022757
   402 | 004AF9     19193   0.0022880
   403 | 004B62     19298   0.0023005
   404 | 004BCA     19402   0.0023129
   405 | 004C34     19508   0.0023255
   406 | 004C9E     19614   0.0023382
   407 | 004D08     19720   0.0023508
   408 | 004D73     19827   0.0023636
   409 | 004DDF     19935   0.0023764
   410 | 004E4B     20043   0.0023893
   411 | 004EB8     20152   0.0024023
   412 | 004F25     20261   0.0024153
   413 | 004F93     20371   0.0024284
   414 | 005002     20482   0.0024416
   415 | 005071     20593   0.0024549
   416 | 0050E1     20705   0.0024682
   417 | 005151     20817   0.0024816
   418 | 0051C3     20931   0.0024952
   419 | 005234     21044   0.0025086
   420 | 0052A6     21158   0.0025222
   421 | 005319     21273   0.0025359
   422 | 00538D     21389   0.0025498
   423 | 005401     21505   0.0025636
   424 | 005476     21622   0.0025775
   425 | 0054EB     21739   0.0025915
   426 | 005561     21857   0.0026056
   427 | 0055D8     21976   0.0026197
   428 | 00564F     22095   0.0026339
   429 | 0056C7     22215   0.0026482
   430 | 005740     22336   0.0026627
   431 | 0057B9     22457   0.0026771
   432 | 005833     22579   0.0026916
   433 | 0058AE     22702   0.0027063
   434 | 005929     22825   0.0027210
   435 | 0059A5     22949   0.0027357
   436 | 005A21     23073   0.0027505
   437 | 005A9F     23199   0.0027655
   438 | 005B1D     23325   0.0027806
   439 | 005B9B     23451   0.0027956
   440 | 005C1B     23579   0.0028108
   441 | 005C9B     23707   0.0028261
   442 | 005D1B     23835   0.0028414
   443 | 005D9D     23965   0.0028569
   444 | 005E1F     24095   0.0028723
   445 | 005EA2     24226   0.0028880
   446 | 005F25     24357   0.0029036
   447 | 005FAA     24490   0.0029194
   448 | 00602F     24623   0.0029353
   449 | 0060B4     24756   0.0029511
   450 | 00613B     24891   0.0029672
   451 | 0061C2     25026   0.0029833
   452 | 00624A     25162   0.0029995
   453 | 0062D2     25298   0.0030158
   454 | 00635C     25436   0.0030322
   455 | 0063E6     25574   0.0030487
   456 | 006471     25713   0.0030652
   457 | 0064FC     25852   0.0030818
   458 | 006589     25993   0.0030986
   459 | 006616     26134   0.0031154
   460 | 0066A4     26276   0.0031323
   461 | 006732     26418   0.0031493
   462 | 0067C2     26562   0.0031664
   463 | 006852     26706   0.0031836
   464 | 0068E3     26851   0.0032009
   465 | 006975     26997   0.0032183
   466 | 006A08     27144   0.0032358
   467 | 006A9B     27291   0.0032533
   468 | 006B2F     27439   0.0032710
   469 | 006BC4     27588   0.0032887
   470 | 006C5A     27738   0.0033066
   471 | 006CF1     27889   0.0033246
   472 | 006D88     28040   0.0033426
   473 | 006E20     28192   0.0033607
   474 | 006EB9     28345   0.0033790
   475 | 006F53     28499   0.0033973
   476 | 006FEE     28654   0.0034158
   477 | 00708A     28810   0.0034344
   478 | 007126     28966   0.0034530
   479 | 0071C3     29123   0.0034717
   480 | 007261     29281   0.0034906
   481 | 007300     29440   0.0035095
   482 | 0073A0     29600   0.0035286
   483 | 007441     29761   0.0035478
   484 | 0074E3     29923   0.0035671
   485 | 007585     30085   0.0035864
   486 | 007628     30248   0.0036058
   487 | 0076CD     30413   0.0036255
   488 | 007772     30578   0.0036452
   489 | 007818     30744   0.0036650
   490 | 0078BF     30911   0.0036849
   491 | 007967     31079   0.0037049
   492 | 007A0F     31247   0.0037249
   493 | 007AB9     31417   0.0037452
   494 | 007B64     31588   0.0037656
   495 | 007C0F     31759   0.0037860
   496 | 007CBC     31932   0.0038066
   497 | 007D69     32105   0.0038272
   498 | 007E17     32279   0.0038480
   499 | 007EC7     32455   0.0038689
   500 | 007F77     32631   0.0038899
   501 | 008028     32808   0.0039110
   502 | 0080DA     32986   0.0039322
   503 | 00818D     33165   0.0039536
   504 | 008241     33345   0.0039750
   505 | 0082F6     33526   0.0039966
   506 | 0083AC     33708   0.0040183
   507 | 008463     33891   0.0040401
   508 | 00851B     34075   0.0040621
   509 | 0085D4     34260   0.0040841
   510 | 00868E     34446   0.0041063
   511 | 00874A     34634   0.0041287
   512 | 008806     34822   0.0041511
   513 | 0088C3     35011   0.0041736
   514 | 008981     35201   0.0041963
   515 | 008A40     35392   0.0042191
   516 | 008B00     35584   0.0042419
   517 | 008BC1     35777   0.0042650
   518 | 008C84     35972   0.0042882
   519 | 008D47     36167   0.0043114
   520 | 008E0B     36363   0.0043348
   521 | 008ED1     36561   0.0043584
   522 | 008F97     36759   0.0043820
   523 | 00905F     36959   0.0044059
   524 | 009127     37159   0.0044297
   525 | 0091F1     37361   0.0044538
   526 | 0092BC     37564   0.0044780
   527 | 009388     37768   0.0045023
