# X:$14A000  X_14A000_sine8k_full  (8192 words)
# m18 phaser LFO quadrature SIN (read at $144ED4/$145076: x:(r0+$14a000),a)
# 3 bytes/word big-endian signed 24-bit fraction = word/2^23
#  idx | hex     signed24   fraction(24-bit)
   321 | 1F325A   2044506   +0.2437241
   322 | 1F4AB9   2050745   +0.2444679
   323 | 1F6317   2056983   +0.2452115
   324 | 1F7B74   2063220   +0.2459550
   325 | 1F93D0   2069456   +0.2466984
   326 | 1FAC2A   2075690   +0.2474415
   327 | 1FC484   2081924   +0.2481847
   328 | 1FDCDC   2088156   +0.2489276
   329 | 1FF533   2094387   +0.2496704
   330 | 200D88   2100616   +0.2504129
   331 | 2025DD   2106845   +0.2511555
   332 | 203E30   2113072   +0.2518978
   333 | 205682   2119298   +0.2526400
   334 | 206ED2   2125522   +0.2533820
   335 | 208722   2131746   +0.2541239
   336 | 209F70   2137968   +0.2548656
   337 | 20B7BD   2144189   +0.2556072
   338 | 20D008   2150408   +0.2563486
   339 | 20E853   2156627   +0.2570900
   340 | 21009C   2162844   +0.2578311
   341 | 2118E4   2169060   +0.2585721
   342 | 21312A   2175274   +0.2593129
   343 | 21496F   2181487   +0.2600535
   344 | 2161B3   2187699   +0.2607940
   345 | 2179F6   2193910   +0.2615345
   346 | 219237   2200119   +0.2622746
   347 | 21AA78   2206328   +0.2630148
   348 | 21C2B6   2212534   +0.2637546
   349 | 21DAF4   2218740   +0.2644944
   350 | 21F330   2224944   +0.2652340
   351 | 220B6B   2231147   +0.2659734
   352 | 2223A5   2237349   +0.2667128
   353 | 223BDD   2243549   +0.2674519
   354 | 225414   2249748   +0.2681909
   355 | 226C49   2255945   +0.2689296
   356 | 22847E   2262142   +0.2696683
   357 | 229CB1   2268337   +0.2704068
   358 | 22B4E2   2274530   +0.2711451
   359 | 22CD12   2280722   +0.2718832
   360 | 22E541   2286913   +0.2726213
   361 | 22FD6F   2293103   +0.2733592
   362 | 23159B   2299291   +0.2740968
   363 | 232DC6   2305478   +0.2748344
   364 | 2345F0   2311664   +0.2755718
   365 | 235E18   2317848   +0.2763090
   366 | 23763F   2324031   +0.2770461
   367 | 238E64   2330212   +0.2777829
   368 | 23A688   2336392   +0.2785196
   369 | 23BEAB   2342571   +0.2792562
   370 | 23D6CC   2348748   +0.2799926
   371 | 23EEEC   2354924   +0.2807288
   372 | 24070B   2361099   +0.2814649
   373 | 241F28   2367272   +0.2822008
   374 | 243744   2373444   +0.2829366
   375 | 244F5E   2379614   +0.2836721
   376 | 246777   2385783   +0.2844075
   377 | 247F8F   2391951   +0.2851428
   378 | 2497A5   2398117   +0.2858778
   379 | 24AFBA   2404282   +0.2866127
   380 | 24C7CD   2410445   +0.2873474
   381 | 24DFDF   2416607   +0.2880820
   382 | 24F7EF   2422767   +0.2888163
   383 | 250FFE   2428926   +0.2895505
   384 | 25280C   2435084   +0.2902846
   385 | 254018   2441240   +0.2910185
   386 | 255823   2447395   +0.2917522
   387 | 25702C   2453548   +0.2924857
   388 | 258834   2459700   +0.2932191
   389 | 25A03B   2465851   +0.2939523
   390 | 25B840   2472000   +0.2946854
   391 | 25D043   2478147   +0.2954181
   392 | 25E845   2484293   +0.2961508
   393 | 260046   2490438   +0.2968833
   394 | 261845   2496581   +0.2976156
   395 | 263043   2502723   +0.2983478
   396 | 26483F   2508863   +0.2990798
   397 | 26603A   2515002   +0.2998116
   398 | 267833   2521139   +0.3005432
   399 | 26902B   2527275   +0.3012747
   400 | 26A821   2533409   +0.3020059
   401 | 26C016   2539542   +0.3027370
   402 | 26D809   2545673   +0.3034679
   403 | 26EFFB   2551803   +0.3041986
   404 | 2707EB   2557931   +0.3049291
   405 | 271FDA   2564058   +0.3056595
   406 | 2737C8   2570184   +0.3063898
   407 | 274FB3   2576307   +0.3071197
   408 | 27679E   2582430   +0.3078496
   409 | 277F86   2588550   +0.3085792
   410 | 27976E   2594670   +0.3093088
   411 | 27AF53   2600787   +0.3100380
   412 | 27C738   2606904   +0.3107672
   413 | 27DF1A   2613018   +0.3114960
   414 | 27F6FB   2619131   +0.3122247
   415 | 280EDB   2625243   +0.3129534
   416 | 2826B9   2631353   +0.3136817
   417 | 283E95   2637461   +0.3144099
   418 | 285670   2643568   +0.3151379
   419 | 286E4A   2649674   +0.3158658
   420 | 288621   2655777   +0.3165933
   421 | 289DF8   2661880   +0.3173208
   422 | 28B5CC   2667980   +0.3180480
   423 | 28CD9F   2674079   +0.3187751
   424 | 28E571   2680177   +0.3195020
   425 | 28FD41   2686273   +0.3202287
   426 | 29150F   2692367   +0.3209552
   427 | 292CDC   2698460   +0.3216815
   428 | 2944A7   2704551   +0.3224076
   429 | 295C71   2710641   +0.3231336
   430 | 297439   2716729   +0.3238593
   431 | 298BFF   2722815   +0.3245848
   432 | 29A3C4   2728900   +0.3253102
   433 | 29BB87   2734983   +0.3260354
   434 | 29D349   2741065   +0.3267604
   435 | 29EB09   2747145   +0.3274852
