# P:$143F95  filter_div_table_1  (1201 words)
# FILTER: div table 1, indexed by BASE cutoff x $4AF>>24 (0..1199); used at P:$057D kernel
#  idx | hex     signed24   fraction(24-bit)
   460 | 01C6EA    116458   0.0138829
   461 | 01C962    117090   0.0139582
   462 | 01CBDE    117726   0.0140340
   463 | 01CE5E    118366   0.0141103
   464 | 01D0E0    119008   0.0141869
   465 | 01D367    119655   0.0142640
   466 | 01D5F1    120305   0.0143415
   467 | 01D87E    120958   0.0144193
   468 | 01DB0F    121615   0.0144976
   469 | 01DDA3    122275   0.0145763
   470 | 01E03B    122939   0.0146555
   471 | 01E2D7    123607   0.0147351
   472 | 01E576    124278   0.0148151
   473 | 01E819    124953   0.0148956
   474 | 01EAC0    125632   0.0149765
   475 | 01ED6A    126314   0.0150578
   476 | 01F018    127000   0.0151396
   477 | 01F2CA    127690   0.0152218
   478 | 01F57F    128383   0.0153044
   479 | 01F838    129080   0.0153875
   480 | 01FAF5    129781   0.0154711
   481 | 01FDB6    130486   0.0155551
   482 | 02007B    131195   0.0156397
   483 | 020343    131907   0.0157245
   484 | 020610    132624   0.0158100
   485 | 0208E0    133344   0.0158958
   486 | 020BB4    134068   0.0159822
   487 | 020E8C    134796   0.0160689
   488 | 021168    135528   0.0161562
   489 | 021448    136264   0.0162439
   490 | 02172C    137004   0.0163321
   491 | 021A14    137748   0.0164208
   492 | 021D00    138496   0.0165100
   493 | 021FF1    139249   0.0165998
   494 | 0222E5    140005   0.0166899
   495 | 0225DD    140765   0.0167805
   496 | 0228DA    141530   0.0168717
   497 | 022BDA    142298   0.0169632
   498 | 022EDF    143071   0.0170554
   499 | 0231E8    143848   0.0171480
   500 | 0234F5    144629   0.0172411
   501 | 023807    145415   0.0173348
   502 | 023B1D    146205   0.0174290
   503 | 023E37    146999   0.0175236
   504 | 024155    147797   0.0176188
   505 | 024478    148600   0.0177145
   506 | 02479F    149407   0.0178107
   507 | 024ACA    150218   0.0179074
   508 | 024DFA    151034   0.0180047
   509 | 02512E    151854   0.0181024
   510 | 025467    152679   0.0182008
   511 | 0257A4    153508   0.0182996
   512 | 025AE6    154342   0.0183990
   513 | 025E2C    155180   0.0184989
   514 | 026177    156023   0.0185994
   515 | 0264C6    156870   0.0187004
   516 | 02681A    157722   0.0188019
   517 | 026B73    158579   0.0189041
   518 | 026ED0    159440   0.0190067
   519 | 027232    160306   0.0191100
   520 | 027599    161177   0.0192138
   521 | 027904    162052   0.0193181
   522 | 027C74    162932   0.0194230
   523 | 027FE9    163817   0.0195285
   524 | 028363    164707   0.0196346
   525 | 0286E2    165602   0.0197413
   526 | 028A65    166501   0.0198485
   527 | 028DED    167405   0.0199562
   528 | 02917B    168315   0.0200647
   529 | 02950D    169229   0.0201737
   530 | 0298A4    170148   0.0202832
   531 | 029C40    171072   0.0203934
   532 | 029FE1    172001   0.0205041
   533 | 02A387    172935   0.0206155
   534 | 02A733    173875   0.0207275
   535 | 02AAE3    174819   0.0208400
   536 | 02AE99    175769   0.0209533
   537 | 02B253    176723   0.0210670
   538 | 02B613    177683   0.0211815
   539 | 02B9D8    178648   0.0212965
   540 | 02BDA3    179619   0.0214123
   541 | 02C172    180594   0.0215285
   542 | 02C547    181575   0.0216454
   543 | 02C921    182561   0.0217630
   544 | 02CD01    183553   0.0218812
   545 | 02D0E6    184550   0.0220001
   546 | 02D4D0    185552   0.0221195
   547 | 02D8C0    186560   0.0222397
   548 | 02DCB6    187574   0.0223606
   549 | 02E0B1    188593   0.0224820
   550 | 02E4B1    189617   0.0226041
   551 | 02E8B7    190647   0.0227269
   552 | 02ECC2    191682   0.0228503
   553 | 02F0D4    192724   0.0229745
   554 | 02F4EA    193770   0.0230992
   555 | 02F907    194823   0.0232247
   556 | 02FD29    195881   0.0233508
   557 | 030151    196945   0.0234777
   558 | 03057F    198015   0.0236052
   559 | 0309B3    199091   0.0237335
   560 | 030DEC    200172   0.0238624
   561 | 03122B    201259   0.0239919
   562 | 031671    202353   0.0241224
   563 | 031ABC    203452   0.0242534
   564 | 031F0D    204557   0.0243851
   565 | 032364    205668   0.0245175
   566 | 0327C1    206785   0.0246507
   567 | 032C25    207909   0.0247847
   568 | 03308E    209038   0.0249193
   569 | 0334FE    210174   0.0250547
   570 | 033973    211315   0.0251907
   571 | 033DEF    212463   0.0253276
   572 | 034271    213617   0.0254651
   573 | 0346FA    214778   0.0256035
   574 | 034B88    215944   0.0257425
   575 | 03501E    217118   0.0258825
   576 | 0354B9    218297   0.0260230
   577 | 03595B    219483   0.0261644
   578 | 035E03    220675   0.0263065
   579 | 0362B2    221874   0.0264494
   580 | 036767    223079   0.0265931
   581 | 036C23    224291   0.0267376
   582 | 0370E6    225510   0.0268829
   583 | 0375AF    226735   0.0270289
   584 | 037A7F    227967   0.0271758
   585 | 037F55    229205   0.0273234
   586 | 038432    230450   0.0274718
   587 | 038916    231702   0.0276210
   588 | 038E01    232961   0.0277711
   589 | 0392F2    234226   0.0279219
   590 | 0397EB    235499   0.0280737
   591 | 039CEA    236778   0.0282261
   592 | 03A1F1    238065   0.0283796
   593 | 03A6FE    239358   0.0285337
   594 | 03AC13    240659   0.0286888
   595 | 03B12E    241966   0.0288446
   596 | 03B651    243281   0.0290014
   597 | 03BB7A    244602   0.0291588
   598 | 03C0AB    245931   0.0293173
   599 | 03C5E3    247267   0.0294765
   600 | 03CB23    248611   0.0296367
   601 | 03D06A    249962   0.0297978
   602 | 03D5B8    251320   0.0299597
